ACCESSION,NAME
MIMAT0019746,hsa-miR-4668-3p
MIMAT0019761,hsa-miR-4677-3p
MIMAT0021020,hsa-miR-5000-3p
MIMAT0022272,hsa-miR-664b-3p
MIMAT0025477,hsa-miR-6510-3p
MIMAT0027513,hsa-miR-6806-3p
MIMAT0009196,hsa-miR-103a-2-5p
MIMAT0000101,hsa-miR-103a-3p
MIMAT0000103,hsa-miR-106a-5p
MIMAT0004588,hsa-miR-27b-5p
MIMAT0004593,hsa-miR-130a-5p
MIMAT0004594,hsa-miR-132-5p
MIMAT0004598,hsa-miR-141-5p
MIMAT0004599,hsa-miR-143-5p
MIMAT0004673,hsa-miR-29c-5p
MIMAT0001620,hsa-miR-200a-5p
MIMAT0004680,hsa-miR-130b-5p
MIMAT0009199,hsa-miR-365a-5p
MIMAT0001621,hsa-miR-369-5p
MIMAT0004689,hsa-miR-377-5p
MIMAT0004692,hsa-miR-340-5p
MIMAT0004693,hsa-miR-330-5p
MIMAT0004694,hsa-miR-342-5p
MIMAT0000756,hsa-miR-326
MIMAT0004697,hsa-miR-151a-5p
MIMAT0000758,hsa-miR-135b-5p
MIMAT0004699,hsa-miR-148b-5p
MIMAT0000772,hsa-miR-345-5p
MIMAT0001341,hsa-miR-424-5p
MIMAT0001536,hsa-miR-429
MIMAT0001625,hsa-miR-431-5p
MIMAT0002888,hsa-miR-532-5p
MIMAT0003241,hsa-miR-576-5p
MIMAT0003247,hsa-miR-582-5p
MIMAT0003249,hsa-miR-584-5p
MIMAT0003258,hsa-miR-590-5p
MIMAT0003293,hsa-miR-624-5p
MIMAT0003294,hsa-miR-625-5p
MIMAT0003296,hsa-miR-627-5p
MIMAT0022710,hsa-miR-659-5p
MIMAT0010214,hsa-miR-151b
MIMAT0004902,hsa-miR-891a-5p
MIMAT0004909,hsa-miR-450b-5p
MIMAT0004926,hsa-miR-708-5p
MIMAT0004929,hsa-miR-190b
MIMAT0005885,hsa-miR-1295a
MIMAT0005899,hsa-miR-1247-5p
MIMAT0014990,hsa-miR-3127-5p
MIMAT0014995,hsa-miR-3130-5p
MIMAT0015045,hsa-miR-3170
MIMAT0017987,hsa-miR-3610
MIMAT0017990,hsa-miR-3613-5p
MIMAT0017992,hsa-miR-3614-5p
MIMAT0017994,hsa-miR-3615
